user_id,age,gender,education_level,employment_status,job_title,monthly_income_usd,monthly_expenses_usd,savings_usd,has_loan,loan_type,loan_amount_usd,loan_term_months,monthly_emi_usd,loan_interest_rate_pct,debt_to_income_ratio,credit_score,savings_to_income_ratio,region,record_date
U00001,56,Female,High School,Self-employed,Salesperson,3531.69,1182.59,367655.03,No,None,0.0,0,0.0,0.0,0.0,430,8.68,Other,2024-01-09
U00002,19,Female,PhD,Employed,Salesperson,3531.73,2367.99,260869.1,Yes,Education,146323.34,36,4953.5,13.33,1.4,543,6.16,North America,2022-02-13
U00003,20,Female,Master,Employed,Teacher,2799.49,1003.91,230921.21,No,None,0.0,0,0.0,0.0,0.0,754,6.87,Africa,2022-05-12
U00004,25,Male,PhD,Employed,Manager,5894.88,4440.12,304815.51,Yes,Business,93242.37,24,4926.57,23.93,0.84,461,4.31,Europe,2023-10-02
U00005,53,Female,PhD,Employed,Student,5128.93,4137.61,461509.48,No,None,0.0,0,0.0,0.0,0.0,516,7.5,Africa,2021-08-07
U00006,62,Male,Master,Employed,Student,4051.0,2244.42,194901.41,Yes,Car,407915.25,12,38219.81,22.21,9.43,718,4.01,North America,2025-02-12
U00007,22,Female,Master,Student,Accountant,983.69,332.62,37522.56,Yes,Car,296057.6,180,6773.29,26.95,6.89,761,3.18,Asia,2024-06-01
U00008,18,Female,Bachelor,Employed,Accountant,6199.29,4503.15,89107.54,No,None,0.0,0,0.0,0.0,0.0,540,1.2,Africa,2024-03-17
U00009,49,Female,High School,Self-employed,Doctor,4271.51,3062.12,451923.96,No,None,0.0,0,0.0,0.0,0.0,327,8.82,Africa,2023-05-02
U00010,61,Male,Master,Employed,Student,5216.18,4369.36,203320.5,Yes,Education,324197.37,360,6782.37,25.09,1.3,558,3.25,Asia,2024-11-23
U00011,26,Female,Master,Employed,Manager,3677.43,2247.92,311546.91,Yes,Education,127703.79,240,1818.01,16.43,0.49,412,7.06,Other,2022-09-02
U00012,66,Other,Bachelor,Student,Unemployed,4808.1,1537.78,202875.2,No,None,0.0,0,0.0,0.0,0.0,429,3.52,Other,2025-02-21
U00013,61,Male,Bachelor,Employed,Student,2449.33,1804.98,109956.88,No,None,0.0,0,0.0,0.0,0.0,497,3.74,Asia,2024-09-07
U00014,65,Female,High School,Employed,Driver,5546.28,3630.24,453101.38,Yes,Car,404941.02,60,10823.31,20.42,1.95,788,6.81,North America,2022-01-15
U00015,57,Male,PhD,Employed,Accountant,3286.51,2287.38,323017.91,No,None,0.0,0,0.0,0.0,0.0,301,8.19,North America,2024-06-04
U00016,65,Other,Bachelor,Unemployed,Student,5112.24,2573.59,218221.57,No,None,0.0,0,0.0,0.0,0.0,430,3.56,Africa,2021-11-03
U00017,41,Male,Master,Unemployed,Engineer,4586.14,1389.77,93116.97,No,None,0.0,0,0.0,0.0,0.0,462,1.69,Other,2023-11-21
U00018,58,Male,High School,Employed,Doctor,2571.3,1336.77,230407.66,No,None,0.0,0,0.0,0.0,0.0,332,7.47,Africa,2021-09-18
U00019,68,Female,Bachelor,Employed,Unemployed,5757.35,3907.42,550538.43,No,None,0.0,0,0.0,0.0,0.0,583,7.97,North America,2022-02-14
U00020,22,Male,Bachelor,Employed,Engineer,3520.81,1148.36,420217.83,No,None,0.0,0,0.0,0.0,0.0,345,9.95,Other,2022-07-22
